,0
ZTF18aailmnv,9.743445740015954
ZTF18aansqun,10.251941469812902
ZTF18aaoxryq,10.29998651492889
ZTF18aapqwyv,10.023129659654476
ZTF18aapsedq,11.698109272840783
ZTF18aaqcozd,10.714942679099549
ZTF18aaqcqkv,9.599379161345418
ZTF18aaqcqvr,9.4648472720856
ZTF18aaqcugm,10.210249654837355
ZTF18aaqffyp,9.389336488673155
ZTF18aaqnrum,8.704638188965674
ZTF18aaqqoqs,8.975951205563062
ZTF18aarldnh,11.101963381892713
ZTF18aarqnje,9.441427112556529
ZTF18aasdted,8.868187050262009
ZTF18aasesgl,10.18188183805863
ZTF18aaslhxt,9.635099451132982
ZTF18aatzygk,10.193214438616828
ZTF18aauhxce,10.56198165256653
ZTF18aaumeys,8.924952491899496
ZTF18aaumlfl,10.419010095969725
ZTF18aaunfqq,9.889546858940662
ZTF18aauocnw,10.235384976233236
ZTF18aavrwhu,10.004083263940547
ZTF18aavrzxp,10.589660869262596
ZTF18aawjywv,10.99347472968056
ZTF18aawpcel,9.786633976179957
ZTF18aawurud,11.21678093082874
ZTF18aaxakhh,10.249897266365124
ZTF18aaxcntm,10.713963255415416
ZTF18aaxdrjn,10.726026895030255
ZTF18aaxqyki,8.652328513359066
ZTF18aaxrvzj,10.305026431141023
ZTF18aaxsioa,9.176465963097725
ZTF18aaxvpsw,10.539052209618053
ZTF18aaxwjmp,8.734344259923734
ZTF18aaydmkh,10.191906760394168
ZTF18aayjvve,10.44347362296975
ZTF18aaykjei,9.571223575946028
ZTF18aaytovs,10.47293364644574
ZTF18aazabmh,10.652745092280076
ZTF18aazblzy,8.773529165427705
ZTF18aazcoob,10.53462705143606
ZTF18aazixbw,10.493440087444828
ZTF18aazjztm,10.197585731043658
ZTF18aazsabq,9.94344944101973
ZTF18abatffv,10.19787885774121
ZTF18abauprj,10.987078987403756
ZTF18abaxlpi,10.10516124407584
ZTF18abbpeqo,10.552351245625983
ZTF18abbvsiv,10.761091585931338
ZTF18abcecfi,10.398439582706036
ZTF18abcflnz,9.569002390419824
ZTF18abckujg,10.85338132995486
ZTF18abckujq,10.42138584572898
ZTF18abclalx,9.72342241691415
ZTF18abclfee,8.647250970934232
ZTF18abcrxoj,9.978626233746514
ZTF18abcsgvj,10.576689950052938
ZTF18abcysdx,10.21828030932701
ZTF18abdbuty,10.03303482905899
ZTF18abddmrf,9.180488269568606
ZTF18abdefet,9.900447688946668
ZTF18abdfazk,9.319945112890048
ZTF18abdfwur,9.797096345850893
ZTF18abdfydj,9.04748910021307
ZTF18abdkimx,9.778495429217406
ZTF18abdmgab,10.344926664258717
ZTF18abdpvnd,8.326007025724937
ZTF18abealop,9.895046422574229
ZTF18abeecwe,10.219214580791796
ZTF18abeegsl,8.295927624586392
ZTF18abetehf,10.67241729535611
ZTF18abetewu,9.760486624896116
ZTF18abfgygp,9.072978054333095
ZTF18abfhaji,10.52205578488712
ZTF18abfhryc,9.360982990360531
ZTF18abfwuwn,9.128443589652116
ZTF18abfzkno,9.43737199851859
ZTF18abgmcmv,
ZTF18abgxvra,10.572640436189184
ZTF18abhpgje,8.501915719789588
ZTF18abimsyv,9.50984742448497
ZTF18abixjey,8.145260805617713
ZTF18abjdjge,9.147078534254875
ZTF18abjstcm,10.8118204916721
ZTF18abjtgdo,10.39896255789601
ZTF18abjtger,9.94921670905916
ZTF18abjvhec,10.823703534586471
ZTF18abkhcrj,9.77393171082566
ZTF18abkhcwl,9.263282389890446
ZTF18abkhdxe,8.56588193704368
ZTF18abkifng,10.97677809999156
ZTF18abkigee,8.521209208609537
ZTF18abklljv,11.742956616045356
ZTF18abkudjo,10.233143358310445
ZTF18abmmkaz,
ZTF18abmxdhb,8.667786119410467
ZTF18abnvoel,10.012206119202611
ZTF18aboaeqy,9.767632530418624
ZTF18abokpvh,9.530265258135636
ZTF18abpamut,9.312637554455172
ZTF18abpaywm,9.902885252851204
ZTF18abpmmpo,9.12067957567694
ZTF18abptsco,9.83553984131004
ZTF18abpttky,9.904083983129306
ZTF18abqbavl,10.230164563211
ZTF18abqjvyl,8.923709817405701
ZTF18abrzeym,9.486418191977709
ZTF18abrzrnb,8.777351212159644
ZTF18absdgon,9.960333454675409
ZTF18abslxhz,
ZTF18abssdpi,10.327740272340074
ZTF18abssuxz,10.606377542395908
ZTF18abtcdfv,9.02712293298729
ZTF18abtnlik,10.127735869115629
ZTF18abtogdl,9.072431164473167
ZTF18abucvbf,8.92327540639076
ZTF18abukmty,9.327141588227756
ZTF18abuqugw,9.28943385724255
ZTF18abvbayb,10.742064594657345
ZTF18abwdcdv,10.594881350376166
ZTF18abwmuua,10.599382958323272
ZTF18abwnsoc,10.65481980450616
ZTF18abwtops,9.982887157210472
ZTF18abxxssh,9.283170482052142
ZTF18abxygvv,8.971990569949691
